Ticker,Alt_Ticker,Stock Name,year
MYL,,Mylan Inc.,2004
NAV,,Navistar International Corp.,2003
NAVI,,Navient Corp,2014
NBL,,Noble Energy Inc,2008
NBR,,Nabors Industries Ltd.,2003
NCC,,National City Corp.,2003
NCLH,,Norwegian Cruise Line,2018
NCR,,NCR Corp.,2003
NDAQ,,NASDAQ OMX Group,2008
NDSN,,Nordson,2022
NE,,Noble Corporation,2003
NEE,,NextEra Energy Resources,2011
NEM,,Newmont Mining Corp. (Hldg. Co.),2003
NFB,,North Fork Bancorporation,2003
NFLX,,NetFlix Inc.,2011
NFX,,Newfield Exploration Co,2011
NI,,NiSource Inc.,2003
NKE,,NIKE Inc.,2003
NKTR,,Nektar Therapeutics,2018
NLOK,,NortonLifeLock,2020
NLSN,,Nielsen Holdings,2013
NOC,,Northrop Grumman Corp.,2003
NOV,,National Oilwell Varco Inc.,2005
NOVL,,Novell Inc.,2003
NOW,,ServiceNow,2020
NRG,,NRG Energy,2011
NSC,,Norfolk Southern Corp.,2003
NSM,,National Semiconductor,2003
NTAP,,Network Appliance,2003
NTRS,,Northern Trust Corp.,2003
NU,,Northeast Utilities,2010
NUE,,Nucor Corp.,2003
NVDA,,NVIDIA Corp.,2003
NVLS,,Novellus Systems,2003
NVR,,NVR Inc,2020
NWL,,Newell Rubbermaid Co.,2003
NWS,,News Corp. Class B,2015
NWS.A,,News Corporation,2004
NWSA,,News Corporation,2010
NXPI,,NXP Semiconductors,2021
NXTL,,Nextel Communications,2003
NYT,,New York Times Cl. A,2003
NYX,,NYSE Euronext,2008
O,,Realty Income Corporation,2015
ODFL,,Old Dominion Freight Line,2020
ODP,,Office Depot,2003
OGN,,Organon & Co.,2021
OI,,Owens-Illinois Inc,2010
OKE,,ONEOK,2011
OMC,,Omnicom Group,2003
OMX,,,2004
ON,,ON Semiconductor,2022
ONE,,Bank One Corp.,2003
ORCL,,Oracle Corp.,2003
ORLY,,O'Reilly Automotive,2010
OTIS,,Otis Worldwide,2020
OXY,,Occidental Petroleum,2003
PARA,,Paramount Global,2022
PAYC,,Paycom,2020
PAYX,,Paychex Inc.,2003
PBCT,,People's United Bank,2010
PBG,,Pepsi Bottling Group,2003
PBI,,Pitney-Bowes,2003
PCAR,,PACCAR Inc.,2003
PCG,,PG&E Corp.,2003
PCL,,Plum Creek Timber Co.,2003
PCLN,,Priceline.com Inc,2011
PCP,,Precision Castparts Corp.,2007
PCS,,Sprint Corp. PCS,2003
PD,,Phelps Dodge,2003
PDCO,,Patterson Cos. Inc.,2005
PEAK,,Healthpeak Properties,2020
PEG,,Public Serv. Enterprise Inc.,2003
PENN,,Penn National Gaming,2021
PEP,,PepsiCo Inc.,2003
PETM,,"PetSmart, Inc.",2013
PFE,,"Pfizer, Inc.",2003
PFG,,Principal Financial Group,2003
PG,,Procter & Gamble,2003
PGL,,Peoples Energy,2003
PGN,,"Progress Energy, Inc.",2003
PGR,,Progressive Corp.,2003
PH,,Parker-Hannifin,2003
PHA,,Pharmacia Corp,2003
PHM,,"Pulte Homes, Inc.",2003
PKG,,Packaging Corporation of America,2017
PKI,,PerkinElmer,2003
PLD,,ProLogis,2003
PLL,,Pall Corp.,2003
PM,,Philip Morris International,2008
PMCS,,PMC-Sierra Inc.,2003
PMTC,,Parametric Technology,2003
PMTCD,,,2006
PNC,,PNC Bank Corp.,2003
PNR,,Pentair Ltd.,2013
PNW,,Pinnacle West Capital,2003
POM,,Pepco Holdings Inc.,2008
POOL,,Pool Corporation,2020
PPG,,PPG Industries,2003
PPL,,PPL Corp.,2003
PRGO,,Perrigo,2012
PRU,,Prudential Financial,2003
PSA,,Public Storage,2005
PSFT,,PeopleSoft Inc.,2003
PSX,,Phillips 66,2012
PTC,,PTC Inc,2021
PTV,,Pactiv Corp.,2003
PVH,,PVH Corp.,2013
PVN,,Providian Financial Corp.,2003
PWER,,Power-One Inc.,2003
PWR,,Quanta Services Inc.,2010
PX,,"Praxair, Inc.",2003
PXD,,Pioneer Natural Resources,2008
PYPL,,PayPal,2015
Q,,Qwest Communications Int,2003
QCOM,,QUALCOMM Inc.,2003
QEP,,QEP Resources,2011
QLGC,,QLogic Corp.,2003
QRVO,,Qorvo,2015
QTRN,,Quintiles Transnational,2003
R,,Ryder System,2003
RAI,,Reynolds American Inc.,2004
RBK,,Reebok International,2003
RCL,,Royal Caribbean Cruises Ltd,2015
RDC,,Rowan Cos.,2003
RE,,Everest Re Group Ltd,2017
REG,,Regency Centers Corporation,2017
REGN,,Regeneron,2013
RF,,Regions Financial Corp.,2003
RHI,,Robert Half International,2003
RHT,,Red Hat Inc.,2010
RIG,,Transocean Inc.,2003
RJF,,Raymond James Financial Inc.,2017
RJR,,RJ Reynolds Tobacco,2003
RKY,,Coors (Adolph),2003
RL,,Polo Ralph Lauren Corp.,2007
RMD,,ResMed,2017
ROH,,Rohm & Haas,2003
ROK,,"Rockwell Automation, Inc.",2003
ROL,,Rollins Inc.,2018
ROP,,Roper Industries,2010
ROST,,Ross Stores Inc.,2010
RRC,,Range Resources Corp.,2008
RRD,,Donnelley (R.R.) & Sons,2004
RSG,,Republic Services Inc,2010
RSH,,RadioShack Corp,2003
RTN,,Raytheon Co. (New),2003
RTX,,Raytheon Co.,2020
RX,,IMS Health Inc.,2003
S,,"Sears, Roebuck & Co.",2003
SAF,,,2006
SAFC,,SAFECO Corp.,2003
SAI,,SAIC,2010
SANM,,Sanmina-SCI Corp.,2003
SBAC,,SBA Communications,2018
SBC,,SBC Communications Inc.,2003
SBL,,Symbol Technologies,2003
SBNY,,Signature Bank,2022
SBUX,,Starbucks Corp.,2003
SCG,,SCANA Corp,2010
SCH,,Charles Schwab,2003
SCHW,,Charles Schwab,2006
SDS,,SunGard Data Systems,2003
SE,,Spectra Energy Corp.,2007
SEBL,,Siebel  Systems Inc,2003
SEDG,,SolarEdge,2022
